industry,category,question,current_answer,proposed_answer,Jon's proposed answer,Jon's explanation
landscaping,Maintenance,How often do you mow?,Typically weekly during peak growing season; timing can vary by weather and grass type.,Typically weekly during peak growing season; timing can vary by weather and grass type.,,
landscaping,Maintenance,Do you offer seasonal cleanups?,Yes. We schedule spring/fall cleanups and ongoing maintenance.,"Yes, we do. We schedule spring/fall cleanups and ongoing maintenance. If you want, tell me a little more about what's going on and I can help from there.",,
landscaping,Services,Can you handle irrigation issues?,Yes. We diagnose and repair irrigation systems.,"Yes, we can. We diagnose and repair irrigation systems. Tell me a little about what you need, and I can help from there.",,
landscaping,Services,Do you offer lawn care programs?,Yes. We can provide fertilization and weed control plans.,"Yes, we do. We can provide fertilization and weed control plans. Tell me a little about what you need, and I can help from there.",,
landscaping,Services,Do you do mulching and bed maintenance?,Yes. We can refresh mulch and maintain planting beds.,"Yes, we do. We can refresh mulch and maintain planting beds. Tell me a little about what you need, and I can help from there.",,
landscaping,Services,Do you handle tree trimming?,We can handle light trimming and recommend arborists when needed.,"Yes, we can handle light trimming and recommend arborists when needed. Tell me a little about what you need, and I can help from there.",,
landscaping,Services,Can you install new landscaping?,Yes. We can design and install new landscape features.,"Yes, we can design and install new landscape features. Tell me a little about what you need, and I can help from there.",,
landscaping,Pricing,Do you provide estimates?,Yes. We’ll review your yard and provide a quote.,"Yes, we do. We will review your yard and provide a quote. Tell me a little more, and I can help with the next step.",,
landscaping,Scheduling,How soon can you start service?,We’ll schedule the earliest available start date.,"We will schedule the earliest available start date. Tell me a little about the situation, and I can help with the next step. Tell me a little about what’s going on, and I can help with the next step.",,
landscaping,Scheduling,Do I need to be home?,Not always. We can service the exterior with access.,Not always. We can service the exterior with access.,,
landscaping,Coverage,What areas do you service?,We serve the local area. Share your address and we’ll confirm.,"We serve the local area. If you give me the address, I can confirm whether you are in range.",,
landscaping,Services,Do you handle snow removal?,We can confirm seasonal snow service availability.,"Yes, we can confirm seasonal snow service availability. Tell me a little about what you need, and I can help from there.",,
landscaping,Maintenance,What about lawn damage or bare spots?,We can recommend overseeding or repairs.,"Yes, we can recommend overseeding or repairs.",,
landscaping,Safety,Do you use pet-safe products?,We can discuss product options and safety guidance.,"Yes, we can talk through product options and safety guidance. Tell me a little more, and I can help with the next step.",,
landscaping,Services,Can you help with drainage issues?,We can assess grading and drainage options.,"Yes, we can take a look at grading and drainage options. Tell me a little about what you need, and I can help from there.",,
landscaping,Process,Will you haul away debris?,Yes. We remove yard waste from cleanups.,"Yes, we will. We remove yard waste from cleanups. Tell me a little more, and I can help with the next step.",,
landscaping,Payments,What payment methods do you accept?,We accept common payment methods. We can confirm when booking.,"We accept common payment methods, and I can confirm the options when we book your service.",,
landscaping,Maintenance,Do you offer ongoing maintenance?,Yes. We can set up a recurring service plan.,"Yes, we do. We can set up a recurring service plan. If you want, tell me a little more about what's going on and I can help from there.",,
landscaping,Services,Do you do hardscaping?,"We can discuss patios, walkways, and retaining walls.","Yes, we can talk through patios, walkways, and retaining walls. Tell me a little about what you need, and I can help from there.",,
landscaping,Scheduling,Can you adjust service frequency?,Yes. We can tailor schedules to your needs.,"Yes, we can tailor schedules to your needs. Tell me what you're dealing with, and I can help from there.",,
landscaping,Pricing,Do you offer free estimates?,We can schedule an on-site assessment and provide pricing after the technician reviews the issue.,"Yes. I can get a few details and help set up the next step for an estimate. Tell me a little more, and I can help with the next step.",,
landscaping,Pricing,What are your service or diagnostic fees?,We’ll confirm any service or diagnostic fee before dispatching a technician.,"I can go over any service or diagnostic fee before anything is scheduled, so you know what to expect.",,
landscaping,Payments,What payment methods do you accept?,We accept common payment methods. We can confirm specifics when booking.,"We accept common payment methods, and I can confirm the options when we book your service.",,
landscaping,Warranty,Do you offer any warranties or guarantees?,Yes. We stand by our workmanship and can share warranty details with you.,"Yes. We stand behind our work, and I can go over the warranty details with you.",,
landscaping,Insurance,Do you work with insurance?,We can provide documentation to support insurance claims when applicable.,"Yes. If insurance is involved, I can help with documentation and talk through the next step.",,
landscaping,Coverage,What areas do you service?,We serve the local area. Share your address and we’ll confirm coverage.,"We serve the local area. If you give me the address, I can confirm whether you are in range.",,
landscaping,Scheduling,How soon can someone come out?,We’ll schedule the earliest available time and prioritize urgent issues.,"I’ll look for the earliest opening and do our best to move urgent situations up. Tell me a little about what’s going on, and I can help with the next step.",,
landscaping,Scheduling,Do I need to be home for the visit?,"Usually yes. If not, we can discuss access details and preferences.","In most cases, yes. If that is difficult, I can talk through the best option for access.",,
landscaping,Process,What happens next after I book?,We’ll confirm your details and a technician will contact you before arrival.,"Once we have your details, I’ll get your request into the schedule and let you know the next step.",,
landscaping,Process,How long will the service take?,It depends on the issue. The technician can estimate timing on site.,"That depends on the job. Once I know a little more, I can give you a better sense of timing and help with the next step.",,
landscaping,Preparation,Is there anything I should do to prepare?,Clear access to the problem area if possible. We’ll provide any specific prep tips.,"Usually just make sure we can reach the work area. If there is anything specific to do ahead of time, I’ll let you know.",,
landscaping,Scheduling,Can I reschedule or cancel?,Yes. We can update your appointment if you need to change it.,"Yes. If you need to make a change, we can help update the appointment.",,
landscaping,Technical,Can you help troubleshoot or explain how to fix it?,Great question — the technician will walk you through options when they call or arrive.,"I can help point you in the right direction. Once I know a little more, the team can go over the best next step with you. Tell me a little more, and I can help with the next step.",,
landscaping,Process,Can I talk to the technician directly?,We can have the technician follow up with you to discuss details.,"Yes. Once we have your details, we can arrange for the team to follow up with you.",,
landscaping,Emergency,Do you handle emergencies?,We prioritize urgent issues and will do our best to get someone out quickly.,"Yes. If this is urgent, tell me what’s going on, and I can help move it along as quickly as possible.",,
cleaning,Maintenance,Do you provide recurring cleanings?,"Yes. We offer weekly, bi-weekly, and monthly plans.","Yes, we do. We offer weekly, bi-weekly, and monthly plans. If you want, tell me a little more about what's going on and I can help from there.",,
cleaning,Services,Do you offer one-time or deep cleans?,Yes. We offer deep cleans and one-time services.,"Yes, we do. We offer deep cleans and one-time services. Tell me a little about what you need, and I can help from there.",,
cleaning,Services,Do you bring your own supplies?,Yes. We bring supplies and can use yours if requested.,"Yes, we do. We bring supplies and can use yours if requested. Tell me a little about what you need, and I can help from there.",,
cleaning,Process,Are you pet friendly?,Yes. We use family- and pet-friendly products when possible.,"Yes, we are. We use family- and pet-friendly products when possible. Tell me a little more, and I can help with the next step.",,
cleaning,Scheduling,Do I need to be home?,Not always. We can clean with access instructions.,Not always. We can clean with access instructions.,,
cleaning,Coverage,What areas do you service?,We serve the local area. Share your address and we’ll confirm.,"We serve the local area. If you give me the address, I can confirm whether you are in range.",,
cleaning,Services,Do you clean inside appliances?,We can add inside oven or fridge cleaning by request.,"Yes, we can add inside oven or fridge cleaning by request. Tell me a little about what you need, and I can help from there.",,
cleaning,Services,Do you do move-in or move-out cleans?,Yes. We offer move-in and move-out services.,"Yes, we do. We offer move-in and move-out services. Tell me a little about what you need, and I can help from there.",,
cleaning,Scheduling,How long does a cleaning take?,It depends on home size and service type. We’ll estimate when booking.,"It depends on home size and service type. We will estimate when booking. Once I know a little more, I can help with the next step.",,
cleaning,Scheduling,Do you offer same-day service?,We’ll check availability for urgent requests.,"We will check availability for urgent requests. Tell me a little about the situation, and I can help with the next step. Tell me a little about what’s going on, and I can help with the next step.",,
cleaning,Products,Can I request green products?,Yes. We can use eco-friendly products by request.,Yes. We can use eco-friendly products by request.,,
cleaning,Services,Do you clean windows?,We can clean interior windows by request.,"Yes, we can clean interior windows by request. Tell me a little about what you need, and I can help from there.",,
cleaning,Services,Do you clean carpets?,We can confirm carpet cleaning availability or recommend a specialist.,"Yes, we can confirm carpet cleaning availability or recommend a specialist. Tell me a little about what you need, and I can help from there.",,
cleaning,Services,Do you handle laundry?,We can discuss add-on laundry services if available.,"Yes, we can talk through add-on laundry services if available. Tell me a little about what you need, and I can help from there.",,
cleaning,Process,What is included in a standard clean?,We’ll review the checklist of rooms and tasks before scheduling.,We will review the checklist of rooms and tasks before scheduling.,,
cleaning,Pricing,Will you provide an estimate?,Yes. We provide pricing based on home size and service type.,"Yes, we will. We provide pricing based on home size and service type. Tell me a little more, and I can help with the next step.",,
cleaning,Pricing,Do you have minimums?,We’ll share any minimum service requirements when booking.,"We will share any minimum service requirements when booking. Tell me a little more, and I can help with the next step.",,
cleaning,Warranty,Do you guarantee your work?,Yes. Let us know if anything was missed and we’ll make it right.,"Yes, we do. Let us know if anything was missed and we will make it right. Tell me a little more, and I can help with the next step.",,
cleaning,Payments,What payment methods do you accept?,We accept common payment methods. We can confirm when booking.,"We accept common payment methods, and I can confirm the options when we book your service.",,
cleaning,Process,Do you have background-checked staff?,We can share our hiring and screening process.,"Yes, we can share our hiring and screening process. Tell me a little more, and I can help with the next step.",,
cleaning,Pricing,Do you offer free estimates?,We can schedule an on-site assessment and provide pricing after the technician reviews the issue.,"Yes. I can get a few details and help set up the next step for an estimate. Tell me a little more, and I can help with the next step.",,
cleaning,Pricing,What are your service or diagnostic fees?,We’ll confirm any service or diagnostic fee before dispatching a technician.,"I can go over any service or diagnostic fee before anything is scheduled, so you know what to expect.",,
cleaning,Payments,What payment methods do you accept?,We accept common payment methods. We can confirm specifics when booking.,"We accept common payment methods, and I can confirm the options when we book your service.",,
cleaning,Warranty,Do you offer any warranties or guarantees?,Yes. We stand by our workmanship and can share warranty details with you.,"Yes. We stand behind our work, and I can go over the warranty details with you.",,
cleaning,Insurance,Do you work with insurance?,We can provide documentation to support insurance claims when applicable.,"Yes. If insurance is involved, I can help with documentation and talk through the next step.",,
cleaning,Coverage,What areas do you service?,We serve the local area. Share your address and we’ll confirm coverage.,"We serve the local area. If you give me the address, I can confirm whether you are in range.",,
cleaning,Scheduling,How soon can someone come out?,We’ll schedule the earliest available time and prioritize urgent issues.,"I’ll look for the earliest opening and do our best to move urgent situations up. Tell me a little about what’s going on, and I can help with the next step.",,
cleaning,Scheduling,Do I need to be home for the visit?,"Usually yes. If not, we can discuss access details and preferences.","In most cases, yes. If that is difficult, I can talk through the best option for access.",,
cleaning,Process,What happens next after I book?,We’ll confirm your details and a technician will contact you before arrival.,"Once we have your details, I’ll get your request into the schedule and let you know the next step.",,
cleaning,Process,How long will the service take?,It depends on the issue. The technician can estimate timing on site.,"That depends on the job. Once I know a little more, I can give you a better sense of timing and help with the next step.",,
cleaning,Preparation,Is there anything I should do to prepare?,Clear access to the problem area if possible. We’ll provide any specific prep tips.,"Usually just make sure we can reach the work area. If there is anything specific to do ahead of time, I’ll let you know.",,
cleaning,Scheduling,Can I reschedule or cancel?,Yes. We can update your appointment if you need to change it.,"Yes. If you need to make a change, we can help update the appointment.",,
cleaning,Technical,Can you help troubleshoot or explain how to fix it?,Great question — the technician will walk you through options when they call or arrive.,"I can help point you in the right direction. Once I know a little more, the team can go over the best next step with you. Tell me a little more, and I can help with the next step.",,
cleaning,Process,Can I talk to the technician directly?,We can have the technician follow up with you to discuss details.,"Yes. Once we have your details, we can arrange for the team to follow up with you.",,
cleaning,Emergency,Do you handle emergencies?,We prioritize urgent issues and will do our best to get someone out quickly.,"Yes. If this is urgent, tell me what’s going on, and I can help move it along as quickly as possible.",,
pest_control,Services,What pests do you treat?,"We handle common household pests like ants, roaches, spiders, rodents, and seasonal invaders. Specialized pests may require a separate inspection.","We handle common household pests like ants, roaches, spiders, rodents, and seasonal invaders. Specialized pests may require a separate inspection.",,
pest_control,Services,Do you offer one-time and recurring service?,Yes. We can do a one-time treatment or set up a recurring plan.,"Yes, we do. We can do a one-time treatment or set up a recurring plan. Tell me a little about what you need, and I can help from there.",,
pest_control,Maintenance,How often do you recommend service?,"Many homes use quarterly plans, but it depends on pest activity and the property.","Many homes use quarterly plans, but it depends on pest activity and the property.",,
pest_control,Preparation,How should I prepare before treatment?,"We’ll provide prep steps, but usually we ask for clear access and removal of food and pet bowls.","We will provide prep steps, but usually we ask for clear access and removal of food and pet bowls.",,
pest_control,Safety,Do I need to leave the home during treatment?,"Usually no for routine treatments, but it depends on the product used. We’ll provide instructions.","Usually no for routine treatments, but it depends on the product used. We will provide instructions.",,
pest_control,Safety,When can I re-enter after treatment?,Re-entry timing depends on product label directions. We’ll give the exact interval.,Re-entry timing depends on product label directions. We will give the exact interval.,,
pest_control,Safety,Is pest control safe for kids and pets?,We prioritize reduced-risk methods and provide safety instructions and re-entry timing.,We prioritize reduced-risk methods and provide safety instructions and re-entry timing.,,
pest_control,Process,Do you use integrated pest management?,Yes. We focus on prevention plus targeted treatments.,"Yes, we do. We focus on prevention plus targeted treatments. Tell me a little more, and I can help with the next step.",,
pest_control,Prevention,What can I do to prevent pests between visits?,"Seal gaps, reduce moisture, store food in sealed containers, and remove standing water.","Seal gaps, reduce moisture, store food in sealed containers, and remove standing water.",,
pest_control,Process,Will I still see pests after treatment?,Some activity can be normal at first. We’ll explain what to expect.,Some activity can be normal at first. We will explain what to expect.,,
pest_control,Process,Do you provide follow-up visits?,Yes. Follow-ups are common to confirm results.,"Yes, we do. Follow-ups are common to confirm results. Tell me a little more, and I can help with the next step.",,
pest_control,Services,Do you handle rodents?,"Yes. We use inspection, trapping/baiting, and exclusion.","Yes, we do. We use inspection, trapping/baiting, and exclusion. Tell me a little about what you need, and I can help from there.",,
pest_control,Process,How long does rodent control take?,It depends on severity and conditions; we’ll set expectations after inspection.,"It depends on severity and conditions; we will set expectations after inspection. Once I know a little more, I can help with the next step.",,
pest_control,Services,Do you offer termite inspections?,Yes. Termites typically require a separate inspection and plan.,"Yes, we do. Termites typically require a separate inspection and plan. Tell me a little about what you need, and I can help from there.",,
pest_control,Services,Do you treat bed bugs or fleas?,"Yes, but those require specialized prep and a specific plan.","Yes, but those require specialized prep and a specific plan. Tell me a little about what you need, and I can help from there.",,
pest_control,Support,What if I see pests between visits?,Contact us and we’ll assess whether a touch-up is needed.,Contact us and we will assess whether a touch-up is needed.,,
pest_control,Warranty,Do you guarantee your service?,Many plans include a warranty or re-service window. We’ll confirm details.,"Many plans include a warranty or re-service window. We will confirm details. Tell me a little more, and I can help with the next step.",,
pest_control,Services,Will you treat inside and outside?,It depends on the issue. We’ll recommend the best approach.,"It depends on the issue. We will recommend the best approach. Tell me a little about what you need, and I can help from there.",,
pest_control,Scheduling,Do I need to be home for service?,Not always. Exterior service usually doesn’t require you home.,Not always. Exterior service usually doesn’t require you home.,,
pest_control,Prevention,Will you seal entry points?,We identify entry points and recommend sealing locations.,"We identify entry points and recommend sealing locations. Tell me a little more, and I can help with the next step.",,
pest_control,Preparation,What should I do with pet food and water?,Remove food and water from treatment areas until it’s safe to return them.,Remove food and water from treatment areas until it is safe to return them.,,
pest_control,Services,Do you handle mosquitoes or outdoor pests?,Yes. We can provide seasonal treatments and guidance.,"Yes, we do. We can provide seasonal treatments and guidance. Tell me a little about what you need, and I can help from there.",,
pest_control,Process,Are the products odorless?,"Most products have minimal odor, but it varies. We’ll set expectations.","Most products have minimal odor, but it varies. We will set expectations.",,
pest_control,Process,Can I do this myself instead of hiring a pro?,"DIY can work for minor issues, but recurring problems often need professional care.","DIY can work for minor issues, but recurring problems often need professional care.",,
pest_control,Pricing,Do you offer free estimates?,We can schedule an on-site assessment and provide pricing after the technician reviews the issue.,"Yes. I can get a few details and help set up the next step for an estimate. Tell me a little more, and I can help with the next step.",,
pest_control,Pricing,What are your service or diagnostic fees?,We’ll confirm any service or diagnostic fee before dispatching a technician.,"I can go over any service or diagnostic fee before anything is scheduled, so you know what to expect.",,
pest_control,Payments,What payment methods do you accept?,We accept common payment methods. We can confirm specifics when booking.,"We accept common payment methods, and I can confirm the options when we book your service.",,
pest_control,Warranty,Do you offer any warranties or guarantees?,Yes. We stand by our workmanship and can share warranty details with you.,"Yes. We stand behind our work, and I can go over the warranty details with you.",,
pest_control,Insurance,Do you work with insurance?,We can provide documentation to support insurance claims when applicable.,"Yes. If insurance is involved, I can help with documentation and talk through the next step.",,
pest_control,Coverage,What areas do you service?,We serve the local area. Share your address and we’ll confirm coverage.,"We serve the local area. If you give me the address, I can confirm whether you are in range.",,
pest_control,Scheduling,How soon can someone come out?,We’ll schedule the earliest available time and prioritize urgent issues.,"I’ll look for the earliest opening and do our best to move urgent situations up. Tell me a little about what’s going on, and I can help with the next step.",,
pest_control,Scheduling,Do I need to be home for the visit?,"Usually yes. If not, we can discuss access details and preferences.","In most cases, yes. If that is difficult, I can talk through the best option for access.",,
pest_control,Process,What happens next after I book?,We’ll confirm your details and a technician will contact you before arrival.,"Once we have your details, I’ll get your request into the schedule and let you know the next step.",,
pest_control,Process,How long will the service take?,It depends on the issue. The technician can estimate timing on site.,"That depends on the job. Once I know a little more, I can give you a better sense of timing and help with the next step.",,
pest_control,Preparation,Is there anything I should do to prepare?,Clear access to the problem area if possible. We’ll provide any specific prep tips.,"Usually just make sure we can reach the work area. If there is anything specific to do ahead of time, I’ll let you know.",,
pest_control,Scheduling,Can I reschedule or cancel?,Yes. We can update your appointment if you need to change it.,"Yes. If you need to make a change, we can help update the appointment.",,
pest_control,Technical,Can you help troubleshoot or explain how to fix it?,Great question — the technician will walk you through options when they call or arrive.,"I can help point you in the right direction. Once I know a little more, the team can go over the best next step with you. Tell me a little more, and I can help with the next step.",,
pest_control,Process,Can I talk to the technician directly?,We can have the technician follow up with you to discuss details.,"Yes. Once we have your details, we can arrange for the team to follow up with you.",,
pest_control,Emergency,Do you handle emergencies?,We prioritize urgent issues and will do our best to get someone out quickly.,"Yes. If this is urgent, tell me what’s going on, and I can help move it along as quickly as possible.",,
garage_door,Safety,Is it safe to use the door with a broken spring?,No. Broken springs are dangerous; avoid using the door and call us.,"No. A broken spring can be dangerous, so do not use the door.",,
garage_door,Services,Do you repair broken springs?,Yes. We replace springs and tune up doors.,"Yes, we do. We replace springs and tune up doors. Tell me a little about what you need, and I can help from there.",,
garage_door,Services,Do you install or repair openers?,Yes. We repair and install new openers.,"Yes, we do. We repair and install new openers. Tell me a little about what you need, and I can help from there.",,
garage_door,Services,My door is off track. Can you fix it?,Yes. We can realign and repair off-track doors.,Yes. We can realign and repair off-track doors.,,
garage_door,Scheduling,Do you offer same-day service?,We prioritize stuck or unsafe doors and schedule quickly.,"We prioritize stuck or unsafe doors and schedule quickly. Tell me what’s going on, and I can help with the next step.",,
garage_door,Maintenance,Why is my door making noise?,Noises often indicate wear; we can inspect and service.,Noises often indicate wear; we can inspect and service.,,
garage_door,Coverage,Do you service commercial doors?,We can confirm commercial availability based on your needs.,"Yes, we can confirm commercial availability based on your needs.",,
garage_door,Services,Can you replace panels?,Yes. We can replace damaged panels if compatible.,"Yes, we can replace damaged panels if compatible. Tell me a little about what you need, and I can help from there.",,
garage_door,Services,Do you install new doors?,Yes. We install new garage doors and hardware.,"Yes, we do. We install new garage doors and hardware. Tell me a little about what you need, and I can help from there.",,
garage_door,Pricing,Do you provide estimates?,Yes. We’ll provide pricing after inspection.,"Yes, we do. We will provide pricing after inspection. Tell me a little more, and I can help with the next step.",,
garage_door,Payments,What payment methods do you accept?,We accept common payment methods. We can confirm when booking.,"We accept common payment methods, and I can confirm the options when we book your service.",,
garage_door,Warranty,Do you offer warranties?,Yes. We provide workmanship and product warranty details.,"Yes, we do. We provide workmanship and product warranty details.",,
garage_door,Services,Can you add keypads or smart openers?,Yes. We can install keypads and smart openers.,"Yes, we can install keypads and smart openers. Tell me a little about what you need, and I can help from there.",,
garage_door,Scheduling,Do I need to be home?,"Yes, we recommend someone be available for access.","Yes, we recommend someone be available for access.",,
garage_door,Scheduling,How long does a repair take?,Many repairs are completed in one visit.,"Many repairs are completed in one visit. Once I know a little more, I can help with the next step.",,
garage_door,Safety,Is a broken cable dangerous?,Yes. Avoid using the door and let us inspect.,"Yes. It can be dangerous, so avoid using the door until it's checked.",,
garage_door,Maintenance,Do you perform tune-ups?,Yes. We can lubricate and adjust doors and hardware.,"Yes, we do. We can lubricate and adjust doors and hardware. If you want, tell me a little more about what's going on and I can help from there.",,
garage_door,Services,Can you fix remotes?,Yes. We can troubleshoot remotes and sensors.,"Yes, we can troubleshoot remotes and sensors. Tell me a little about what you need, and I can help from there.",,
garage_door,Process,Will you haul away old doors?,Yes. We remove and dispose of old doors.,"Yes, we will. We remove and dispose of old doors. Tell me a little more, and I can help with the next step.",,
garage_door,Process,Do you service rental properties?,Yes. We can coordinate access with property managers.,"Yes, we do. We can coordinate access with property managers. Tell me a little more, and I can help with the next step.",,
garage_door,Pricing,Do you offer free estimates?,We can schedule an on-site assessment and provide pricing after the technician reviews the issue.,"Yes. I can get a few details and help set up the next step for an estimate. Tell me a little more, and I can help with the next step.",,
garage_door,Pricing,What are your service or diagnostic fees?,We’ll confirm any service or diagnostic fee before dispatching a technician.,"I can go over any service or diagnostic fee before anything is scheduled, so you know what to expect.",,
garage_door,Payments,What payment methods do you accept?,We accept common payment methods. We can confirm specifics when booking.,"We accept common payment methods, and I can confirm the options when we book your service.",,
garage_door,Warranty,Do you offer any warranties or guarantees?,Yes. We stand by our workmanship and can share warranty details with you.,"Yes. We stand behind our work, and I can go over the warranty details with you.",,
garage_door,Insurance,Do you work with insurance?,We can provide documentation to support insurance claims when applicable.,"Yes. If insurance is involved, I can help with documentation and talk through the next step.",,
garage_door,Coverage,What areas do you service?,We serve the local area. Share your address and we’ll confirm coverage.,"We serve the local area. If you give me the address, I can confirm whether you are in range.",,
garage_door,Scheduling,How soon can someone come out?,We’ll schedule the earliest available time and prioritize urgent issues.,"I’ll look for the earliest opening and do our best to move urgent situations up. Tell me a little about what’s going on, and I can help with the next step.",,
garage_door,Scheduling,Do I need to be home for the visit?,"Usually yes. If not, we can discuss access details and preferences.","In most cases, yes. If that is difficult, I can talk through the best option for access.",,
garage_door,Process,What happens next after I book?,We’ll confirm your details and a technician will contact you before arrival.,"Once we have your details, I’ll get your request into the schedule and let you know the next step.",,
garage_door,Process,How long will the service take?,It depends on the issue. The technician can estimate timing on site.,"That depends on the job. Once I know a little more, I can give you a better sense of timing and help with the next step.",,
garage_door,Preparation,Is there anything I should do to prepare?,Clear access to the problem area if possible. We’ll provide any specific prep tips.,"Usually just make sure we can reach the work area. If there is anything specific to do ahead of time, I’ll let you know.",,
garage_door,Scheduling,Can I reschedule or cancel?,Yes. We can update your appointment if you need to change it.,"Yes. If you need to make a change, we can help update the appointment.",,
garage_door,Technical,Can you help troubleshoot or explain how to fix it?,Great question — the technician will walk you through options when they call or arrive.,"I can help point you in the right direction. Once I know a little more, the team can go over the best next step with you. Tell me a little more, and I can help with the next step.",,
garage_door,Process,Can I talk to the technician directly?,We can have the technician follow up with you to discuss details.,"Yes. Once we have your details, we can arrange for the team to follow up with you.",,
garage_door,Emergency,Do you handle emergencies?,We prioritize urgent issues and will do our best to get someone out quickly.,"Yes. If this is urgent, tell me what’s going on, and I can help move it along as quickly as possible.",,
general_contractor,Pricing,Do you do estimates?,Yes. We review scope and provide a detailed estimate.,"Yes, we do. We review scope and provide a detailed estimate. Tell me a little more, and I can help with the next step.",,
general_contractor,Process,Do you handle permits?,Yes. We coordinate permits and required inspections for the project.,"Yes, we do. We coordinate permits and required inspections for the project. Tell me a little more, and I can help with the next step.",,
general_contractor,Scheduling,Can you provide a project timeline?,Yes. We provide a timeline after scope review.,"Yes, we can. We provide a timeline after scope review. Tell me what you're dealing with, and I can help from there.",,
general_contractor,Services,Do you handle remodels and additions?,Yes. We handle a range of remodeling and addition projects.,"Yes, we do. We handle a range of remodeling and addition projects. Tell me a little about what you need, and I can help from there.",,
general_contractor,Services,Do you do kitchen and bath renovations?,Yes. We provide full-service kitchen and bath remodels.,"Yes, we do. We provide full-service kitchen and bath remodels. Tell me a little about what you need, and I can help from there.",,
general_contractor,Process,Do you work with subcontractors?,Yes. We coordinate licensed trades as needed.,"Yes, we do. We coordinate licensed trades as needed. Tell me a little more, and I can help with the next step.",,
general_contractor,Process,Can you help with design?,We can work from your plans or connect you with design resources.,"Yes, we can work from your plans or connect you with design resources. Tell me a little more, and I can help with the next step.",,
general_contractor,Coverage,What areas do you service?,We serve the local area. Share your address and we’ll confirm.,"We serve the local area. If you give me the address, I can confirm whether you are in range.",,
general_contractor,Scheduling,How soon can you start?,Start dates depend on scope and schedule. We’ll confirm availability.,"Start dates depend on scope and schedule. We will confirm availability. Tell me a little about the situation, and I can help with the next step. Tell me a little about what’s going on, and I can help with the next step.",,
general_contractor,Pricing,Do you offer fixed-price contracts?,We can discuss fixed-price or cost-plus options based on scope.,"Yes, we can talk through fixed-price or cost-plus options based on scope. Tell me a little more, and I can help with the next step.",,
general_contractor,Warranty,Do you provide warranty?,Yes. We provide workmanship warranty details.,"Yes, we do. We provide workmanship warranty details.",,
general_contractor,Pricing,Do you help with budgeting?,Yes. We can align scope with your budget goals.,"Yes, we do. We can align scope with your budget goals. Tell me a little more, and I can help with the next step.",,
general_contractor,Process,Do you handle material selection?,Yes. We can guide selections and procurement.,"Yes, we do. We can guide selections and procurement. Tell me a little more, and I can help with the next step.",,
general_contractor,Services,Do you do small repairs?,We can review your needs and confirm fit.,"Yes, we can review your needs and confirm fit. Tell me a little about what you need, and I can help from there.",,
general_contractor,Coverage,Do you service commercial projects?,We can confirm commercial availability based on your scope.,"Yes, we can confirm commercial availability based on your scope.",,
general_contractor,Process,Do I need to be home for work?,We can discuss access and communication preferences.,"Yes, we can talk through access and communication preferences.",,
general_contractor,Process,How do change orders work?,We document changes and pricing before proceeding.,We document changes and pricing before proceeding.,,
general_contractor,Process,Can you help with inspections?,Yes. We schedule and coordinate required inspections.,"Yes, we can. We schedule and coordinate required inspections. Tell me a little more, and I can help with the next step.",,
general_contractor,Payments,What payment methods do you accept?,We accept common payment methods. We can confirm when booking.,"We accept common payment methods, and I can confirm the options when we book your service.",,
general_contractor,Process,Do you provide progress updates?,Yes. We keep you informed throughout the project.,"Yes, we do. We keep you informed throughout the project. Tell me a little more, and I can help with the next step.",,
general_contractor,Pricing,Do you offer free estimates?,We can schedule an on-site assessment and provide pricing after the technician reviews the issue.,"Yes. I can get a few details and help set up the next step for an estimate. Tell me a little more, and I can help with the next step.",,
general_contractor,Pricing,What are your service or diagnostic fees?,We’ll confirm any service or diagnostic fee before dispatching a technician.,"I can go over any service or diagnostic fee before anything is scheduled, so you know what to expect.",,
general_contractor,Payments,What payment methods do you accept?,We accept common payment methods. We can confirm specifics when booking.,"We accept common payment methods, and I can confirm the options when we book your service.",,
general_contractor,Warranty,Do you offer any warranties or guarantees?,Yes. We stand by our workmanship and can share warranty details with you.,"Yes. We stand behind our work, and I can go over the warranty details with you.",,
general_contractor,Insurance,Do you work with insurance?,We can provide documentation to support insurance claims when applicable.,"Yes. If insurance is involved, I can help with documentation and talk through the next step.",,
general_contractor,Coverage,What areas do you service?,We serve the local area. Share your address and we’ll confirm coverage.,"We serve the local area. If you give me the address, I can confirm whether you are in range.",,
general_contractor,Scheduling,How soon can someone come out?,We’ll schedule the earliest available time and prioritize urgent issues.,"I’ll look for the earliest opening and do our best to move urgent situations up. Tell me a little about what’s going on, and I can help with the next step.",,
general_contractor,Scheduling,Do I need to be home for the visit?,"Usually yes. If not, we can discuss access details and preferences.","In most cases, yes. If that is difficult, I can talk through the best option for access.",,
general_contractor,Process,What happens next after I book?,We’ll confirm your details and a technician will contact you before arrival.,"Once we have your details, I’ll get your request into the schedule and let you know the next step.",,
general_contractor,Process,How long will the service take?,It depends on the issue. The technician can estimate timing on site.,"That depends on the job. Once I know a little more, I can give you a better sense of timing and help with the next step.",,
general_contractor,Preparation,Is there anything I should do to prepare?,Clear access to the problem area if possible. We’ll provide any specific prep tips.,"Usually just make sure we can reach the work area. If there is anything specific to do ahead of time, I’ll let you know.",,
general_contractor,Scheduling,Can I reschedule or cancel?,Yes. We can update your appointment if you need to change it.,"Yes. If you need to make a change, we can help update the appointment.",,
